ID,DATE,AMOUNT,TAXES
DVC000001,15/08/2014,43.1,6.9
DVC000002,15/08/2014,180,28.8
DVC000003,18/08/2014,180,28.8
DVC000004,19/08/2014,544,87.04
DVC000005,22/08/2014,2678,428.48
DVC000006,25/08/2014,301.6,48.26
DVC000007,26/08/2014,4174.74,667.96
DVC000008,26/08/2014,363,58.08
DVC000009,28/08/2014,3149.43,503.91
DVC000010,29/08/2014,85.34,13.65
DVC000011,29/08/2014,564,90.24
DVC000012,02/09/2014,1743.6,278.98
DVC000013,02/09/2014,510,81.6
DVC000014,03/09/2014,954.72,152.76
DVC000015,03/09/2014,65,10.4
DVC000016,03/09/2014,376,60.16
DVC000017,03/09/2014,180,28.8
DVC000018,05/09/2014,1619.2,259.07
DVC000019,05/09/2014,530,84.8
DVC000020,05/09/2014,178,28.48
DVC000021,08/09/2014,43.1,6.9
DVC000022,08/09/2014,564,90.24
DVC000023,09/09/2014,1874.08,299.85
DVC000024,09/09/2014,7737.6,1238.02
DVC000025,09/09/2014,175,28
DVC000026,10/09/2014,3847.2,615.55
DVC000027,10/09/2014,188,30.08
DVC000028,12/09/2014,360,57.6
DVC000029,12/09/2014,1038.77,166.2
DVC000030,12/09/2014,1128.4,180.54
DVC000031,15/09/2014,954.72,152.76
DVC000032,17/09/2014,188,30.08
DVC000033,17/09/2014,185,29.6
DVC000034,17/09/2014,185,29.6
DVC000035,18/09/2014,70,11.2
DVC000036,19/09/2014,376,60.16
DVC000037,19/09/2014,198806,31808.96
DVC000038,22/09/2014,291.2,46.59
DVC000039,22/09/2014,376,60.16
DVC000040,23/09/2014,561.6,89.86
DVC000041,23/09/2014,2853.98,456.64
DVC000042,24/09/2014,0,0
DVC000043,29/09/2014,1786.2,285.79
DVC000044,29/09/2014,550,88
DVC000045,01/10/2014,962,153.92
DVC000046,01/10/2014,8210,1313.6
DVC000047,01/10/2014,180,28.8
DVC000048,01/10/2014,170,27.2
DVC000049,01/10/2014,170,27.2
DVC000050,01/10/2014,185,29.6
DVC000051,02/10/2014,185,29.6
DVC000052,02/10/2014,175,28
DVC000053,02/10/2014,350,56
DVC000054,03/10/2014,11982.76,1917.24
DVC000055,03/10/2014,17241.38,2758.62
DVC000056,03/10/2014,750.48,120.08
DVC000057,07/10/2014,13637.52,2182
DVC000058,07/10/2014,380,60.8
DVC000059,07/10/2014,7056.15,1128.98
DVC000060,09/10/2014,360,57.6
DVC000061,13/10/2014,253.34,40.53
DVC000062,14/10/2014,65,10.4
DVC000063,14/10/2014,900,144
DVC000064,14/10/2014,360,57.6
DVC000065,14/10/2014,1759.2,281.47
DVC000066,14/10/2014,376,60.16
DVC000067,14/10/2014,65,10.4
DVC000068,14/10/2014,1619.2,259.07
DVC000069,14/10/2014,244.3,39.09
DVC000070,14/10/2014,851.76,136.28
DVC000071,14/10/2014,973.44,155.75
DVC000072,14/10/2014,1263.6,202.18
DVC000073,14/10/2014,973.44,155.75
DVC000074,14/10/2014,861.12,137.78
DVC000075,15/10/2014,3847.2,615.55
DVC000076,15/10/2014,606.24,97
DVC000077,15/10/2014,1506,240.96
DVC000078,16/10/2014,993.1,158.9
DVC000079,16/10/2014,4429.99,708.8
DVC000080,17/10/2014,8732.37,1397.18
DVC000081,17/10/2014,811.2,129.79
DVC000082,17/10/2014,9049.39,1447.9
DVC000083,17/10/2014,9094.39,1455.1
DVC000084,20/10/2014,340,54.4
DVC000085,22/10/2014,325,52
DVC000086,22/10/2014,180,28.8
DVC000087,23/10/2014,865.8,138.53
DVC000088,24/10/2014,1305,208.8
DVC000089,28/10/2014,1841.6,294.66
DVC000090,28/10/2014,2777.11,444.34
DVC000091,29/10/2014,741.32,118.61
DVC000092,29/10/2014,2864.04,458.25
DVC000093,30/10/2014,540,86.4
DVC000094,30/10/2014,380,60.8
DVC000095,30/10/2014,190,30.4
DVC000096,31/10/2014,1729.73,276.76
DVC000097,31/10/2014,10042.24,1606.76
DVC000098,03/11/2014,5016.66,802.67
DVC000099,03/11/2014,388.43,62.15
DVC000100,03/11/2014,3556.32,569.01
DVC000101,05/11/2014,375,60
DVC000102,05/11/2014,304.5,48.72
DVC000103,06/11/2014,231.5,37.04
DVC000104,06/11/2014,175,28
DVC000105,06/11/2014,517.65,82.82
DVC000106,07/11/2014,301.6,48.26
DVC000107,07/11/2014,572,91.52
DVC000108,10/11/2014,1118,178.88
DVC000109,10/11/2014,1534.4,245.5
DVC000110,10/11/2014,76.72,12.28
DVC000111,10/11/2014,376,60.16
DVC000112,10/11/2014,383.6,61.38
DVC000113,10/11/2014,6107.4,977.18
DVC000114,11/11/2014,256.02,40.96
DVC000115,11/11/2014,208,33.28
DVC000116,12/11/2014,842.4,134.78
DVC000117,12/11/2014,2335.4,373.66
DVC000118,12/11/2014,4680,748.8
DVC000119,13/11/2014,873.6,139.78
DVC000120,13/11/2014,682.35,109.18
DVC000121,13/11/2014,235.87,37.74
DVC000122,13/11/2014,1025.02,164
DVC000123,13/11/2014,3061.38,489.82
DVC000124,13/11/2014,170.68,27.31
DVC000125,18/11/2014,6107.4,977.18
DVC000126,18/11/2014,3061.38,489.82
DVC000127,21/11/2014,6615.04,1058.41
DVC000128,24/11/2014,150.8,24.13
DVC000129,24/11/2014,1927.81,308.45
DVC000130,24/11/2014,578,92.48
DVC000131,24/11/2014,2239.3,358.29
